,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG
0,11680,12,0,3122008,역삼로,37.493030248551165,127.02996760445366
1,11680,12,1,3122008,역삼로,37.49310747989726,127.03023801529281
2,11680,12,2,3122008,역삼로,37.49332549900934,127.03095311761675
3,11680,12,3,3122008,역삼로,37.49357073712252,127.0317577936122
4,11680,12,4,3122008,역삼로,37.49381830132277,127.03257011999749
5,11680,12,5,3122008,역삼로,37.493879651263356,127.03277182263642
6,11680,12,6,3122008,역삼로,37.493917325330926,127.03289544556883
7,11680,12,7,3122008,역삼로,37.493961487113545,127.03305041701414
8,11680,12,8,3122008,역삼로,37.49406754069412,127.03339765037497
9,11680,12,9,3122008,역삼로,37.494083294355214,127.0334488709031
10,11680,12,10,3122008,역삼로,37.49412239902862,127.03357718793573
11,11680,12,11,3122008,역삼로,37.49413787329573,127.0336284310354
12,11680,12,12,3122008,역삼로,37.494194056397035,127.03380559482476
13,11680,12,13,3122008,역삼로,37.494194491973566,127.03380704052675
14,11680,12,14,3122008,역삼로,37.494201955221854,127.03383181146197
15,11680,12,15,3122008,역삼로,37.494203355284185,127.03383645834899
16,11680,12,16,3122008,역삼로,37.494247327676646,127.0339875861362
17,11680,12,17,3122008,역삼로,37.49434617713537,127.03431092515166
18,11680,12,18,3122008,역삼로,37.49435862658869,127.0343518656252
19,11680,12,19,3122008,역삼로,37.494601023703034,127.03514837550601
20,11680,12,20,3122008,역삼로,37.49482678182369,127.03588698547584
21,11680,12,21,3122008,역삼로,37.494856864149845,127.03598679319494
22,11680,12,22,3122008,역삼로,37.49490441857678,127.03614197351293
23,11680,12,23,3122008,역삼로,37.49495927272792,127.03632152638953
24,11680,12,24,3122008,역삼로,37.49501409059903,127.03650096643064
25,11680,12,25,3122008,역삼로,37.49506868289669,127.0366805762501
26,11680,12,26,3122008,역삼로,37.49512351822428,127.03686007336417
27,11680,12,27,3122008,역삼로,37.49514569337167,127.03694514362786
28,11680,12,28,3122008,역삼로,37.495155363143766,127.03697681657046
29,11680,12,29,3122008,역삼로,37.49519442924689,127.03709235346885
30,11680,12,30,3122008,역삼로,37.49522058634336,127.037178420892
31,11680,12,31,3122008,역삼로,37.495265303744354,127.0373247244604
32,11680,12,32,3122008,역삼로,37.495336177794066,127.03755706196634
33,11680,12,33,3122008,역삼로,37.495356168900635,127.03762286250398
34,11680,12,34,3122008,역삼로,37.49540679907126,127.0377895128708
35,11680,12,35,3122008,역삼로,37.49543913954692,127.03789499992706
36,11680,12,36,3122008,역삼로,37.49547598710902,127.0380225854657
37,11680,12,37,3122008,역삼로,37.49552139509851,127.0381757657552
38,11680,12,38,3122008,역삼로,37.495523240273165,127.03818180523317
39,11680,12,39,3122008,역삼로,37.49554574236828,127.0382554891453
40,11680,12,40,3122008,역삼로,37.49561636226462,127.03848795266413
41,11680,12,41,3122008,역삼로,37.4956872250114,127.03872029235067
42,11680,12,42,3122008,역삼로,37.49575810531307,127.03895265510141
43,11680,12,43,3122008,역삼로,37.49578145279917,127.03902969844371
44,11680,12,44,3122008,역삼로,37.495869428621596,127.0392489980486
45,11680,12,45,3122008,역삼로,37.49586978873234,127.03924990288955
46,11680,12,46,3122008,역삼로,37.495936750244894,127.03942115490054
47,11680,12,47,3122008,역삼로,37.49600561157079,127.03956768830884
48,11680,12,48,3122008,역삼로,37.49601439929736,127.039586396644
49,11680,12,49,3122008,역삼로,37.49644125421231,127.04045116931674
50,11680,12,50,3122008,역삼로,37.49653720036495,127.04064588102274
51,11680,12,51,3122008,역삼로,37.49718857401719,127.04196777108885
52,11680,12,52,3122008,역삼로,37.497859919742034,127.04333273557128
53,11680,12,53,3122008,역삼로,37.49786499772075,127.0433430631068
54,11680,12,54,3122008,역삼로,37.498075034001005,127.0437611905801
55,11680,12,55,3122008,역삼로,37.498510074724315,127.04467691569138
56,11680,12,56,3122008,역삼로,37.49855259199609,127.04477782464045
57,11680,12,57,3122008,역삼로,37.49859422120434,127.04489234881417
