,명칭,주소,위도,경도,분류
62,GS25 개나리SK점,서울특별시 강남구 역삼로 315 107호 ,37.5005166,127.0502997,편의점
63,GS25 강남N타워점,서울특별시 강남구 테헤란로 129 강남N타워 GF층 7호 ,37.4985996,127.0280499,편의점
64,GS25 역삼사랑점,서울특별시 강남구 테헤란로55길 27,37.5059151,127.0465317,편의점
65,세븐일레븐 역삼한은점,서울특별시 강남구 테헤란로 204 범진빌딩,37.5094878,127.0639905,편의점
66,GS25 역삼기쁨점,서울특별시 강남구 테헤란로25길 39 mk빌딩,37.5099316,127.0321881,편의점
67,세븐일레븐 역삼14호점,서울특별시 강남구 논현로105길 53,37.5051353,127.029989,편의점
68,세븐일레븐 역삼5호점,서울특별시 강남구 역삼로 151 삼오빌딩,37.4949057,127.0356326,편의점
69,GS25 강남본점,서울특별시 강남구 테헤란로2길 8 1층,37.4976053,127.0286852,편의점
70,세븐일레븐 역삼창조점,서울특별시 강남구 논현로85길 13 역삼동빌딩,37.49907109999999,127.0362499,편의점
71,GS25 역삼월드점,서울특별시 강남구 역삼로52길 14 도곡프라자,37.4985129,127.0479773,편의점
72,세븐일레븐 강남언주로점,서울특별시 강남구 테헤란로53길 62,37.50737,127.0438145,편의점
73,GS25 역삼넥스빌점,서울특별시 강남구 언주로86길 11 한화 진넥스빌,37.501905,127.0443538,편의점
74,GS25 역삼이담점,서울특별시 강남구 테헤란로16길 15,37.4985118,127.0340725,편의점
75,GS25 지에스타워점,서울특별시 강남구 테헤란로27길 12,37.502223,127.0380171,편의점
76,CU 선릉디오빌점,서울특별시 강남구 선릉로89길 16 능현오피스텔,37.5033944,127.0478146,편의점
77,CU 역삼푸르지오점,서울특별시 강남구 언주로70길 10,37.4969176,127.0463589,편의점
78,CU 역삼카이로스점,서울특별시 강남구 강남대로66길 8 카이로스빌딩,37.491656,127.0315498,편의점
79,CU 역삼지혜점,서울특별시 강남구 테헤란로13길 10,37.5002744,127.0325502,편의점
80,GS25 역삼센트럴점,서울특별시 강남구 언주로85길 32 719-24외 4필지 1층,37.50069209999999,127.04192,편의점
81,GS25 역삼행운점,서울특별시 강남구 논현로79길 56,37.496328,127.0344433,편의점
82,CU 역삼경남점,서울특별시 강남구 언주로85길 13 경남아파트,37.5004607,127.0424651,편의점
83,GS25 역삼흑룡점,서울특별시 강남구 역삼로11길 5 더프레스티,37.4954152,127.03499,편의점
84,GS25 지에스사랑점,서울특별시 강남구 테헤란로28길 3-10 1층,37.5009518,127.0394856,편의점
85,이마트24 역삼승리점,서울특별시 강남구 강남대로94길 55,37.5004833,127.0316495,편의점
86,이마트24 역삼자이점,서울특별시 강남구 언주로 408,37.5091043,127.0400763,편의점
87,GS25 역삼태극점,서울특별시 강남구 테헤란로4길 46 B110호,37.4953323,127.0303725,편의점
88,GS25 역삼아르누보점,서울특별시 강남구 언주로 506 역삼 아르누보씨티,37.5033508,127.0428628,편의점
89,GS25 역삼본점,서울특별시 강남구 테헤란로29길 10,37.5023232,127.0388245,편의점
