,명칭,주소,위도,경도,분류
63,미니스톱 역삼태극점,서울특별시 강남구 강남대로7길 8,37.5087501,127.021665,편의점
64,GS25 역삼성보점,서울특별시 강남구 테헤란로52길 16 상가 12호,37.5030366,127.0479111,편의점
65,CU 역삼시티점,서울특별시 강남구 테헤란로7길 7,37.4995941,127.0304599,편의점
66,CU 강남시티점,서울특별시 강남구 선릉로93길 50,37.5042746,127.0447277,편의점
67,CU 선릉SK허브점,서울특별시 강남구 선릉로 431 에스케이허브 오피스텔,37.5033975,127.0490938,편의점
68,GS25 강남태양점,서울특별시 강남구 봉은사로4길 29,37.5029389,127.0268529,편의점
69,미니스톱 역삼타워점,서울특별시 강남구 강남대로84길 16 제이스타워,37.496674,127.030124,편의점
70,세븐일레븐 역삼18호점,서울특별시 강남구 도곡로37길 16,37.4948035,127.0451011,편의점
71,CU 역삼화랑점,서울특별시 강남구 역삼로20길 9,37.4946782,127.0376559,편의점
72,CU 역삼로즈점,서울특별시 강남구 언주로 311,37.4952482,127.0457196,편의점
73,GS25 역삼타운점,서울특별시 강남구 언주로69길 7 농협,37.4963917,127.0447167,편의점
74,세븐일레븐 강남푸르지오시티점,서울특별시 강남구 테헤란로4길 6 126호),37.497689,127.029031,편의점
75,세븐일레븐 역삼한서점,서울특별시 강남구 테헤란로38길 11,37.501265,127.0417684,편의점
76,GS25 개나리SK점,서울특별시 강남구 역삼로 315 107호 ,37.5005166,127.0502997,편의점
77,GS25 강남N타워점,서울특별시 강남구 테헤란로 129 강남N타워 GF층 7호 ,37.4985996,127.0280499,편의점
78,GS25 역삼사랑점,서울특별시 강남구 테헤란로55길 27,37.5059151,127.0465317,편의점
79,세븐일레븐 역삼한은점,서울특별시 강남구 테헤란로 204 범진빌딩,37.5094878,127.0639905,편의점
80,GS25 역삼기쁨점,서울특별시 강남구 테헤란로25길 39 mk빌딩,37.5099316,127.0321881,편의점
81,세븐일레븐 역삼14호점,서울특별시 강남구 논현로105길 53,37.5051353,127.029989,편의점
82,세븐일레븐 역삼5호점,서울특별시 강남구 역삼로 151 삼오빌딩,37.4949057,127.0356326,편의점
83,GS25 강남본점,서울특별시 강남구 테헤란로2길 8 1층,37.4976053,127.0286852,편의점
84,세븐일레븐 역삼창조점,서울특별시 강남구 논현로85길 13 역삼동빌딩,37.49907109999999,127.0362499,편의점
85,GS25 역삼월드점,서울특별시 강남구 역삼로52길 14 도곡프라자,37.4985129,127.0479773,편의점
86,세븐일레븐 강남언주로점,서울특별시 강남구 테헤란로53길 62,37.50737,127.0438145,편의점
87,GS25 역삼넥스빌점,서울특별시 강남구 언주로86길 11 한화 진넥스빌,37.501905,127.0443538,편의점
88,GS25 역삼이담점,서울특별시 강남구 테헤란로16길 15,37.4985118,127.0340725,편의점
89,GS25 지에스타워점,서울특별시 강남구 테헤란로27길 12,37.502223,127.0380171,편의점
90,CU 선릉디오빌점,서울특별시 강남구 선릉로89길 16 능현오피스텔,37.5033944,127.0478146,편의점
91,CU 역삼푸르지오점,서울특별시 강남구 언주로70길 10,37.4969176,127.0463589,편의점
92,CU 역삼카이로스점,서울특별시 강남구 강남대로66길 8 카이로스빌딩,37.491656,127.0315498,편의점
93,CU 역삼지혜점,서울특별시 강남구 테헤란로13길 10,37.5002744,127.0325502,편의점
94,GS25 역삼센트럴점,서울특별시 강남구 언주로85길 32 719-24외 4필지 1층,37.50069209999999,127.04192,편의점
95,GS25 역삼행운점,서울특별시 강남구 논현로79길 56,37.496328,127.0344433,편의점
96,CU 역삼경남점,서울특별시 강남구 언주로85길 13 경남아파트,37.5004607,127.0424651,편의점
97,GS25 역삼흑룡점,서울특별시 강남구 역삼로11길 5 더프레스티,37.4954152,127.03499,편의점
98,GS25 지에스사랑점,서울특별시 강남구 테헤란로28길 3-10 1층,37.5009518,127.0394856,편의점
99,이마트24 역삼승리점,서울특별시 강남구 강남대로94길 55,37.5004833,127.0316495,편의점
100,이마트24 역삼자이점,서울특별시 강남구 언주로 408,37.5091043,127.0400763,편의점
101,GS25 역삼태극점,서울특별시 강남구 테헤란로4길 46 B110호,37.4953323,127.0303725,편의점
102,GS25 역삼아르누보점,서울특별시 강남구 언주로 506 역삼 아르누보씨티,37.5033508,127.0428628,편의점
103,GS25 역삼본점,서울특별시 강남구 테헤란로29길 10,37.5023232,127.0388245,편의점
104,이마트24 역삼서희점,서울특별시 강남구 도곡로3길 19 서희스타힐스오피스텔,37.4914026,127.0326232,편의점
105,GS25 S강남역3호점,서울특별시 강남구 강남대로 390 지하3층,37.4977735,127.028536,편의점
106,CU 역삼가화점,서울특별시 강남구 역삼로34길 19 가화주택 101호,37.4959609,127.042699,편의점
107,GS25 역삼우리점,서울특별시 강남구 역삼로33길 10,37.4978058,127.0417651,편의점
108,CU 역삼우인점,서울특별시 강남구 강남대로84길 8,37.4964436,127.0293143,편의점
109,세븐일레븐강남SLI점,서울특별시 강남구 선릉로69길 7,37.49840810000001,127.0511905,편의점
110,CU 역삼타운점,서울특별시 강남구 언주로75길 16,37.4986676,127.0430309,편의점
111,GS25 강남역신분당선B,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
112,미니스톱 역삼디오빌점,서울특별시 강남구 언주로 427 디오빌역삼,37.5013301,127.0424655,편의점
113,GS25 역삼프라임점,서울특별시 강남구 테헤란로37길 41,37.5049213,127.0396394,편의점
114,GS25 역삼미래점,서울특별시 강남구 테헤란로39길 51,37.5056471,127.0402545,편의점
115,세븐일레븐 역삼MG스타점,서울특별시 강남구 테헤란로 335 1층,37.50471599999999,127.0482288,편의점
116,세븐일레븐 신논현강남점,서울특별시 강남구 봉은사로 140,37.5058877,127.0301071,편의점
117,CU 역삼태양점,서울특별시 강남구 강남대로102길 28,37.502699,127.0277076,편의점
118,세븐일레븐 역삼프레스티점,서울특별시 강남구 강남대로78길 12 예미프레스티,37.4948359,127.0303638,편의점
119,GS25 역삼성우점,서울특별시 강남구 역삼로4길 16 109호,37.4923487,127.0319943,편의점
120,세븐일레븐 강남IBC점,서울특별시 강남구 테헤란로7길 8,37.4997517,127.031107,편의점
121,세븐일레븐 역삼진선점,서울특별시 강남구 선릉로85길 8,37.5028306,127.0488465,편의점
122,세븐일레븐 역삼10호점,서울특별시 강남구 테헤란로19길 10,37.5007271,127.0337013,편의점
123,GS25 역삼하나점,서울특별시 강남구 도곡로13길 19 상가 102호,37.4923761,127.0356714,편의점
124,이마트24 역삼센터점,서울특별시 강남구 테헤란로38길 40 1층,37.4999954,127.0427617,편의점
125,GS25 역삼제일점,서울특별시 강남구 언주로108길 6,37.5077891,127.0400551,편의점
126,GS25 역삼르네상스점,서울특별시 강남구 테헤란로38길 6 MeMo빌딩,37.5015456,127.0412638,편의점
127,GS25 역삼싱아점,서울특별시 강남구 논현로72길 13 1층,37.49579,127.0405163,편의점
128,CU 선릉제일점,서울특별시 강남구 선릉로93길 8,37.5055164,127.0477029,편의점
129,CU 역삼경복점,서울특별시 강남구 봉은사로44길 5,37.5086697,127.0404171,편의점
130,세븐일레븐 역삼17호점,서울특별시 강남구 논현로76길 10,37.4968362,127.0397531,편의점
131,CU 역삼에클라트점,서울특별시 강남구 테헤란로20길 19 엘지에클라트,37.4985127,127.035022,편의점
132,GS25 역삼햇살점,서울특별시 강남구 논현로 412,37.4969325,127.0390802,편의점
133,CU 역삼사랑점,서울특별시 강남구 언주로104길 6,37.5069682,127.04082,편의점
134,세븐일레븐 역삼해피점,서울특별시 강남구 언주로107길 29,37.5071893,127.0368834,편의점
135,CU 역삼테헤란점,서울특별시 강남구 테헤란로33길 3-12,37.5018682,127.0384944,편의점
136,GS25 역삼태양점,서울특별시 강남구 강남대로94길 95,37.5010771,127.0349533,편의점
137,GS25 역삼코디점,서울특별시 강남구 논현로95길 29-13 1층 ,37.5010428,127.0341745,편의점
