,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
0,11680,12,0,3122008,역삼로,37.49303024855117,127.02996760445366,0
1,11680,12,1,3122008,역삼로,37.493107479897255,127.0302380152928,0
2,11680,12,2,3122008,역삼로,37.493325499009345,127.03095311761676,240
3,11680,12,3,3122008,역삼로,37.493570737122525,127.0317577936122,0
4,11680,12,4,3122008,역삼로,37.493818301322776,127.03257011999749,0
5,11680,12,5,3122008,역삼로,37.49387965126336,127.03277182263642,280
6,11680,12,6,3122008,역삼로,37.493917325330926,127.03289544556885,280
7,11680,12,7,3122008,역삼로,37.493961487113545,127.03305041701414,0
8,11680,12,8,3122008,역삼로,37.49406754069412,127.03339765037495,240
9,11680,12,9,3122008,역삼로,37.49408329435522,127.03344887090309,240
10,11680,12,10,3122008,역삼로,37.49412239902862,127.03357718793572,240
11,11680,12,11,3122008,역삼로,37.49413787329573,127.03362843103541,240
12,11680,12,12,3122008,역삼로,37.494194056397035,127.03380559482477,240
13,11680,12,13,3122008,역삼로,37.49419449197357,127.03380704052677,240
14,11680,12,14,3122008,역삼로,37.494201955221854,127.03383181146195,0
15,11680,12,15,3122008,역삼로,37.494203355284185,127.033836458349,0
16,11680,12,16,3122008,역삼로,37.494247327676646,127.0339875861362,0
17,11680,12,17,3122008,역삼로,37.49434617713537,127.03431092515166,0
18,11680,12,18,3122008,역삼로,37.494358626588685,127.03435186562521,0
19,11680,12,19,3122008,역삼로,37.49460102370304,127.035148375506,520
20,11680,12,20,3122008,역삼로,37.49482678182369,127.03588698547584,450
21,11680,12,21,3122008,역삼로,37.49485686414985,127.03598679319494,800
22,11680,12,22,3122008,역삼로,37.49490441857678,127.03614197351291,560
23,11680,12,23,3122008,역삼로,37.494959272727925,127.03632152638953,280
24,11680,12,24,3122008,역삼로,37.49501409059903,127.03650096643065,0
25,11680,12,25,3122008,역삼로,37.49506868289669,127.03668057625009,0
26,11680,12,26,3122008,역삼로,37.49512351822428,127.03686007336417,0
27,11680,12,27,3122008,역삼로,37.495145693371676,127.03694514362785,0
28,11680,12,28,3122008,역삼로,37.49515536314377,127.03697681657046,0
29,11680,12,29,3122008,역삼로,37.495194429246894,127.03709235346884,0
30,11680,12,30,3122008,역삼로,37.49522058634336,127.03717842089199,0
31,11680,12,31,3122008,역삼로,37.49526530374435,127.0373247244604,0
32,11680,12,32,3122008,역삼로,37.49533617779407,127.03755706196634,0
33,11680,12,33,3122008,역삼로,37.49535616890064,127.03762286250398,0
