,밝기,분류,명칭,위도,경도
95,210,편의점,GS25 역삼행운점,37.496328000000005,127.03444329999999
96,210,편의점,CU 역삼경남점,37.500460700000005,127.04246509999999
97,210,편의점,GS25 역삼흑룡점,37.495415200000004,127.03499
98,210,편의점,GS25 지에스사랑점,37.500951799999996,127.03948559999999
99,210,편의점,이마트24 역삼승리점,37.5004833,127.03164950000001
100,210,편의점,이마트24 역삼자이점,37.5091043,127.04007630000001
101,210,편의점,GS25 역삼태극점,37.495332299999994,127.03037250000001
102,210,편의점,GS25 역삼아르누보점,37.5033508,127.04286280000001
103,210,편의점,GS25 역삼본점,37.5023232,127.03882450000002
104,210,편의점,이마트24 역삼서희점,37.4914026,127.0326232
105,210,편의점,GS25 S강남역3호점,37.4977735,127.02853600000002
106,210,편의점,CU 역삼가화점,37.4959609,127.042699
107,210,편의점,GS25 역삼우리점,37.497805799999995,127.04176509999998
108,210,편의점,CU 역삼우인점,37.4964436,127.0293143
109,210,편의점,세븐일레븐강남SLI점,37.498408100000006,127.0511905
110,210,편의점,CU 역삼타운점,37.498667600000005,127.04303090000002
111,210,편의점,GS25 강남역신분당선B,37.4872446,127.03278130000001
112,210,편의점,미니스톱 역삼디오빌점,37.501330100000004,127.0424655
113,210,편의점,GS25 역삼프라임점,37.5049213,127.03963940000001
114,210,편의점,GS25 역삼미래점,37.505647100000004,127.04025449999999
115,210,편의점,세븐일레븐 역삼MG스타점,37.50471599999999,127.04822879999999
116,210,편의점,세븐일레븐 신논현강남점,37.5058877,127.0301071
117,210,편의점,CU 역삼태양점,37.502699,127.02770759999999
118,210,편의점,세븐일레븐 역삼프레스티점,37.4948359,127.0303638
119,210,편의점,GS25 역삼성우점,37.4923487,127.0319943
120,210,편의점,세븐일레븐 강남IBC점,37.499751700000004,127.031107
121,210,편의점,세븐일레븐 역삼진선점,37.5028306,127.04884650000001
122,210,편의점,세븐일레븐 역삼10호점,37.5007271,127.0337013
123,210,편의점,GS25 역삼하나점,37.4923761,127.03567140000001
124,210,편의점,이마트24 역삼센터점,37.499995399999996,127.04276170000001
125,210,편의점,GS25 역삼제일점,37.507789100000004,127.0400551
126,210,편의점,GS25 역삼르네상스점,37.5015456,127.04126380000001
127,210,편의점,GS25 역삼싱아점,37.49579,127.0405163
128,210,편의점,CU 선릉제일점,37.5055164,127.0477029
129,210,편의점,CU 역삼경복점,37.508669700000006,127.04041709999998
130,210,편의점,세븐일레븐 역삼17호점,37.496836200000004,127.0397531
131,210,편의점,CU 역삼에클라트점,37.498512700000006,127.035022
132,210,편의점,GS25 역삼햇살점,37.4969325,127.03908020000001
133,210,편의점,CU 역삼사랑점,37.5069682,127.04082
134,210,편의점,세븐일레븐 역삼해피점,37.5071893,127.03688340000001
135,210,편의점,CU 역삼테헤란점,37.501868200000004,127.03849440000002
136,210,편의점,GS25 역삼태양점,37.5010771,127.03495330000001
137,210,편의점,GS25 역삼코디점,37.50104279999999,127.0341745
138,210,편의점,이마트24 푸르덴셜타워점,37.489969200000004,127.032129
139,210,편의점,GS25 역삼목화점,37.5088941,127.04276010000001
140,210,편의점,GS25 역삼2점,37.4940425,127.0355007
141,210,편의점,세븐일레븐 역삼타운점,37.496946799999996,127.03090470000001
142,210,편의점,GS25 역삼소망점,37.50540400000001,127.03364099999999
143,210,편의점,GS25 강남아트점,37.50337529999999,127.02842609999999
144,210,편의점,GS25 강남사랑점,37.4961175,127.03548529999999
145,210,편의점,CU 강남푸르지오점,37.497689,127.029031
146,210,편의점,CU 역삼벚꽃길점,37.491271000000005,127.035067
147,210,편의점,미니스톱 역삼만남점,37.4955369,127.03181289999999
148,210,편의점,세븐일레븐 역삼은석점,37.4986435,127.0414976
149,210,편의점,세븐일레븐 역삼달샘점,37.501854200000004,127.03280009999999
150,210,편의점,WithGN 강남역지하쇼핑센터점,37.4872446,127.03278130000001
151,210,편의점,이마트24 역삼초교점,37.4927366,127.0342442
152,210,편의점,세븐일레븐 한신점,37.5033867,127.0465507
153,210,편의점,CU 역삼미래점,37.5038298,127.03882209999999
154,210,편의점,GS25 역삼효성점,37.497127899999995,127.030383
155,210,편의점,GS25 역삼영동점,37.5067811,127.0354443
156,210,편의점,세븐일레븐 역삼명랑점,37.5134667,127.03063700000001
157,210,편의점,세븐일레븐 역삼특허점,37.4958355,127.0322874
158,210,편의점,GS25 선릉넥슨점,37.5066208,127.04721940000002
159,210,편의점,GS25 역삼제스트점,37.5068316,127.04476240000001
160,210,편의점,이마트24 역삼Delivery점,37.4964659,127.04175049999999
161,210,편의점,스토리웨이,37.504478999999996,127.04894099999999
162,210,편의점,GS25 역삼혜성점,37.500463,127.040617
163,210,편의점,세븐일레븐 선릉스타점,37.5088717,127.0434356
164,210,편의점,미니스톱역삼충현점,37.5056511,127.03543729999998
