,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
666,20101018,광평로 시점에서 1번째 분기된 도로,14,Gwangpyeong-ro 1-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 729-11,0,670,일원동 728-9,광평로1길,4166072,10.0,135.0,4,11680,3,"[(127.07799875541843, 37.48278683491939), (127.07788082185245, 37.483300013347105), (127.07772402859567, 37.48398225348866)]"
667,20101018,광평로 시점에서 3번째 분기된 도로,14,Gwangpyeong-ro 3-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 727-3,0,671,일원동 725-8,광평로3길,4166077,6.0,139.0,4,11680,3,"[(127.07847744010891, 37.482808580614304), (127.07834965261442, 37.48336785213214), (127.07819599668528, 37.48404031498913)]"
668,20101018,광평로 시점에서 5번째 분기된 도로,14,Gwangpyeong-ro 5-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 726-3,0,672,일원동 724-7,광평로5길,4166084,6.0,125.0,4,11680,3,"[(127.07892031614905, 37.48287228943876), (127.07879426239023, 37.483432209015), (127.07867081791085, 37.4839805127971)]"
669,20101018,광평로 시점에서 7번째 분기된 도로,14,Gwangpyeong-ro 7-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 723-3,0,673,일원동 720-7,광평로7길,4166086,6.0,122.0,4,11680,3,"[(127.07936842853499, 37.48293674999322), (127.0792395401139, 37.483496671904554), (127.07912041990855, 37.48401416807962)]"
670,20101018,광평로 시점에서 9번째 분기된 도로,16,Gwangpyeong-ro 9-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 722,0,674,일원동 719,광평로9길,4166087,15.0,323.0,4,11680,3,"[(127.07989459459587, 37.482703376202586), (127.07969868230838, 37.483563124164554), (127.0796554341918, 37.48375742662407), (127.07964966604906, 37.48382077982247), (127.07966742274421, 37.48390214649339), (127.07969628050553, 37.483970828731486), (127.07974795165767, 37.4840473796181), (127.07977412507245, 37.484078897321226), (127.08079264354078, 37.48496513663845), (127.08089626290993, 37.48504531020691), (127.08098464498278, 37.485097058345794), (127.08108698070674, 37.48513922839313)]"
671,20101018,광평로 시점에서 19번째 분기된 도로,15,Gwangpyeong-ro 19-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,일원동 716,0,675,수서동 746,광평로19길,4166071,15.0,242.0,4,11680,3,"[(127.08663492244541, 37.483669262283044), (127.08614548142894, 37.4858162304044)]"
672,20101018,광평로 시점에서 31번째 분기된 도로,16,Gwangpyeong-ro 31-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,수서동 747,0,676,수서동 745,광평로31길,4166074,15.0,672.0,4,11680,3,"[(127.09293661987313, 37.484433910316646), (127.09289013164477, 37.48463231963578), (127.09253523087986, 37.484940348407974), (127.09253247505654, 37.48494281026303), (127.0924005793799, 37.48506067259219), (127.09207531545441, 37.48533629519598), (127.09200806675736, 37.48538590175918), (127.09189488884053, 37.485443706490834), (127.09180218636837, 37.48548206989409), (127.0916838633571, 37.48551144277164), (127.0915812279874, 37.485526441622255), (127.09146623724898, 37.485534412974644), (127.09134768102201, 37.48552971885591), (127.09116852022808, 37.485514934359934), (127.09093142512032, 37.48550103137915), (127.09069432784189, 37.48549474138033), (127.09044682453106, 37.48550421724099), (127.09003324841619, 37.485503960165794), (127.0893195605609, 37.48538905645608), (127.08882479414576, 37.48530326038386), (127.0886482696728, 37.485279460109595), (127.08847072315687, 37.48528099646538), (127.08830751787359, 37.48530589398099), (127.08810088645683, 37.48536264644867), (127.08794441717663, 37.485414847859204), (127.08753188744164, 37.4855576151316), (127.08638433320263, 37.48578369513992), (127.08614548142894, 37.4858162304044)]"
673,20101018,광평로 시점에서 39번째 분기된 도로,16,Gwangpyeong-ro 39-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,수서동 738,0,677,수서동 730,광평로39길,4166076,10.0,853.0,4,11680,3,"[(127.09791869594969, 37.485713750487385), (127.09780558425604, 37.48581998960544), (127.09750126043446, 37.48615332813214), (127.0974130982366, 37.48628348618153), (127.0973438545749, 37.48643333370224), (127.0972824716794, 37.48664737109421), (127.09728064682668, 37.48701593582934), (127.09734415422615, 37.48722564625063), (127.09743270295992, 37.487388033784015), (127.0976048932342, 37.48761483785044), (127.09832948147275, 37.488343488967516), (127.09853062515222, 37.488545769721945), (127.09861416134638, 37.48865860543647), (127.0987153289682, 37.488878708675756), (127.09875014897128, 37.48903100310998), (127.098745893972, 37.48929004414365), (127.09872763171977, 37.48937650111876), (127.09866688835788, 37.489541830532815), (127.09858438587278, 37.48967817459836), (127.09809315812487, 37.490316034638575), (127.09778186754968, 37.490599815332274), (127.09767612125657, 37.490671143505196), (127.09756115416093, 37.490712061322746), (127.09744245360943, 37.49073383581212), (127.09709728301344, 37.49077916554467), (127.09683995923606, 37.49085961648153), (127.09546549625486, 37.491506626154134)]"
674,20101018,광평로 시점에서 47번째 분기된 도로,16,Gwangpyeong-ro 47-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,수서동 736,0,678,수서동 734,광평로47길,4166080,15.0,236.0,4,11680,3,"[(127.10036442889843, 37.486967129807454), (127.09832948147275, 37.488343488967516)]"
675,20101018,광평로 시점에서 51번째 분기된 도로,16,Gwangpyeong-ro 51-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225531,수서동 713,0,679,수서동 710,광평로51길,4166081,15.0,558.0,4,11680,3,"[(127.10255167024637, 37.487588744946635), (127.10231839344509, 37.48810887542171), (127.10214261919766, 37.488500771137616), (127.10090764831685, 37.491252992889834), (127.10225815196223, 37.491630413137614)]"
